points,visited_links,visited_domains,stack_overflow,google,tmc,other,mooc_fi,course_material,javadoc
15,11,2,5,6,0,0,0,0,0
12,19,2,0,1,18,0,0,0,0
12,29,5,2,4,6,0,4,13,0
13,33,7,8,19,0,3,0,2,1
8,37,2,11,26,0,0,0,0,0
10,5,2,0,0,0,0,3,2,0
6,17,3,0,1,0,0,9,7,0
9,11,4,1,2,0,0,2,6,0
8,24,5,3,8,0,2,2,9,0
8,26,4,1,1,0,0,2,22,0
9,15,5,1,4,0,1,2,7,0
9,9,3,0,4,0,0,3,2,0
8,30,4,12,11,0,0,3,4,0
6,7,3,0,2,0,0,1,4,0
8,18,3,6,10,0,0,0,0,2
15,9,4,0,4,0,0,1,3,1
12,1,1,0,1,0,0,0,0,0
6,38,7,1,9,17,1,3,6,1
9,22,5,3,3,0,5,1,10,0
13,0,0,0,0,0,0,0,0,0
4,15,5,0,3,5,1,2,4,0
14,33,5,3,4,0,4,1,21,0
6,44,6,5,13,17,1,0,5,3
9,5,4,0,1,0,2,1,1,0
6,35,8,11,18,0,5,0,0,1
3,2,1,0,0,0,0,0,0,2
6,21,5,0,5,5,1,3,7,0
8,12,4,0,5,0,2,2,3,0
9,23,4,0,1,13,0,1,8,0
9,10,3,0,1,0,0,3,6,0
8,24,6,7,12,0,2,2,1,0
8,29,3,0,1,0,0,2,26,0
5,39,7,7,14,4,9,1,4,0
4,43,5,8,23,0,1,5,6,0
6,106,7,8,18,40,2,15,23,0
11,0,0,0,0,0,0,0,0,0
4,40,5,4,7,0,4,8,17,0
5,10,2,0,0,0,0,7,3,0
3,101,7,1,2,62,20,1,15,0
9,0,0,0,0,0,0,0,0,0
8,6,3,1,3,0,0,0,0,2
9,22,4,7,7,0,0,2,6,0
12,17,4,0,1,5,0,6,5,0
12,7,3,0,1,0,0,3,3,0
7,13,4,1,3,0,0,1,8,0
9,29,8,5,15,0,6,0,3,0
10,2,2,0,1,0,1,0,0,0
10,13,5,1,7,3,2,0,0,0
8,8,3,0,1,0,0,1,6,0
7,7,2,0,0,0,0,2,5,0
8,48,6,11,27,0,3,0,0,7
5,34,6,4,12,5,1,6,6,0
9,26,6,8,12,0,1,2,2,1
9,19,5,4,7,3,0,3,2,0
8,36,5,5,5,7,0,10,9,0
10,7,2,0,3,0,0,0,4,0
8,36,6,10,21,0,2,0,2,1
9,41,6,16,16,0,1,3,2,3
8,96,9,13,40,24,6,2,4,7
8,8,3,0,2,0,0,2,4,0
9,23,5,7,12,0,3,0,0,1
8,24,7,1,9,0,4,3,7,0
9,27,4,0,3,14,0,4,6,0
8,24,4,13,1,0,0,2,8,0
8,67,6,11,21,14,2,5,14,0
6,51,9,13,21,0,5,2,9,1
9,11,4,1,1,0,0,2,7,0
14,6,4,1,1,0,0,2,2,0
10,64,8,10,24,23,3,2,2,0
11,14,5,1,1,0,0,2,8,2
10,50,6,7,12,0,1,9,20,1
6,23,6,2,5,7,1,0,7,1
10,12,5,2,4,0,0,2,3,1
13,14,4,3,5,0,0,3,3,0
11,54,5,18,33,0,3,0,0,0
9,17,4,1,2,0,0,9,5,0
7,27,8,3,14,0,8,0,0,2
6,25,5,0,5,0,3,6,11,0
10,28,5,5,4,0,0,13,4,2
12,52,4,0,5,14,0,3,30,0
9,8,3,0,5,0,1,0,2,0
11,25,5,6,8,0,0,8,2,1
6,0,0,0,0,0,0,0,0,0
9,44,6,3,8,21,1,2,9,0
9,19,5,1,3,0,2,3,10,0
8,27,4,1,8,0,0,3,15,0
11,45,4,13,23,0,1,0,0,8
8,15,2,0,0,0,0,3,12,0
5,104,8,29,45,20,3,3,4,0
7,14,5,1,7,0,1,2,3,0
8,19,3,4,14,0,0,0,0,1
2,14,4,1,5,6,0,0,2,0
5,31,6,0,1,11,2,3,14,0
1,110,4,10,14,84,0,0,0,2
9,16,5,0,7,0,1,3,2,3
6,65,7,11,16,0,3,0,29,6
15,28,5,15,1,0,3,4,5,0
6,20,4,2,3,0,0,2,13,0
8,5,2,0,0,0,0,2,3,0
9,5,3,0,2,0,0,1,2,0
2,15,3,0,1,0,0,2,12,0
14,40,7,1,5,25,3,1,5,0
5,18,3,0,5,0,0,6,7,0
9,0,0,0,0,0,0,0,0,0
10,5,3,0,1,0,0,1,3,0
8,34,5,6,8,0,1,2,17,0
9,18,3,3,12,0,3,0,0,0
8,11,3,0,2,0,0,5,4,0
8,9,3,0,2,0,0,3,4,0
6,39,6,11,14,0,1,2,10,1
9,25,2,0,0,0,0,3,22,0
8,28,4,3,7,17,1,0,0,0
5,28,5,6,14,0,0,2,4,2
8,18,3,0,1,0,0,1,16,0
